stochastic_year,annual_ground_loss,annual_insured_loss
1,134423.9376550096,19650.92381658888
2,927.6780742961138,0.0
3,431991753.82179445,411635929.4964835
4,290.2491519744502,0.0
5,0.4250948013332741,0.0
6,121.87252786941728,0.0
7,544.3812334493623,0.0
8,0.0,0.0
9,0.0,0.0
10,1777117.810113171,813563.0380819689
11,0.0,0.0
12,1862.2357667271988,0.0
13,317.8086863551337,0.0
14,1.8957866151167249,0.0
15,0.991778196031682,0.0
16,39401577.66654616,28221332.676308263
17,26986471.04749664,18905574.098446716
18,0.02304918389495332,0.0
19,11.584690816911033,0.0
20,386.35227003038597,0.0
21,22338.23671940327,300.26128836567614
22,8883714.154790046,5535782.473541945
23,6942.224517389042,0.0
24,114421912.94478141,98604573.6890663
25,0.0,0.0
26,763932480.4027046,726758163.4565427
27,9433.552949371802,2235.7280252417177
28,231349.43851434035,4036.317079136795
29,0.0,0.0
30,1.231861246103018,0.0
31,31.30531291579997,0.0
32,46.75754273281427,0.0
33,134442445.81106752,113507888.66917486
34,182130.54474399658,43134.304548182314
35,0.0,0.0
36,0.0003719550410574805,0.0
37,39084670.60231534,28108326.67395427
38,765148.6898543604,108523.635519197
39,5308432.809126936,2189984.0498206895
40,328812206.33507395,307366330.3407075
41,0.0,0.0
42,2.0603961726690777e-11,0.0
43,1637251689.4491327,1604584274.4405107
44,145011509.73033196,131528711.75320962
45,134322599.09368044,118680545.21933588
46,171692856.84912238,156498629.65103313
47,0.03576752225259461,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,19.91607320001765,0.0
52,94898.31284205179,14287.150349078222
53,295533371.01459306,276509042.3113599
54,0.0,0.0
55,5187127.163105622,682176.5682798162
56,1941300.1655811493,873709.1991681168
57,0.23540277568468765,0.0
58,27076243.775139567,21032965.757367045
59,0.005572812933524414,0.0
60,0.0,0.0
61,3139452847.8494186,3094167868.647812
62,348282999.54303145,330122515.5735581
63,332845192.29408675,315038270.76610637
64,22.080271360444513,0.0
65,0.0,0.0
66,14429929.834359933,10140108.869411137
67,95249408.73448157,77535546.53311113
68,73923136.1085046,63859677.70961226
69,97463.29947782037,0.0
70,5049150.666868365,1816357.8263280697
71,2035.8177747877507,0.0
72,0.6078401885945258,0.0
73,72.17622832964918,0.0
74,1788.3370686648248,0.0
75,0.0,0.0
76,0.019488627370487822,0.0
77,7103752.298983837,4478737.814790038
78,108424.78031806757,34817.42823053882
79,1113.4687369811377,0.0
80,0.0,0.0
81,4.878445049566682e-06,0.0
82,4021.784595940329,0.0
83,6.810796040571252e-05,0.0
84,23876.22374973932,0.0
85,2042605.274554515,65746.40339089461
86,282489.8425005474,86254.2921427424
87,16154072.786432084,11435051.275388058
88,2.3663599503062787,0.0
89,305477551.47022766,288305222.2858185
90,0.0,0.0
91,2928488.881947476,1194795.319737244
92,1314511.2822753459,600739.4566195372
93,40439742.48073688,32635466.41675411
94,0.49032789373420815,0.0
95,0.0,0.0
96,147.4624847377808,0.0
97,529046.1503228192,186210.05117944814
98,824857441.585699,799199537.9819224
99,0.0,0.0
100,722476532.3322833,697021245.6082475
101,152.5037532130852,0.0
102,0.0,0.0
103,8.157578311450994,0.0
104,61734.17095164809,296.1922081013954
105,22.1942443050778,0.0
106,700285.3439118735,61543.50117179096
107,830.1709684027962,0.0
108,17150.836836483028,0.0
109,9550937.453193031,3405946.852136166
110,2.1040487891185812e-11,0.0
111,1873815.047202181,777.9144619938329
112,14.53900222251999,0.0
113,2713097311.9165545,2672516257.70054
114,1673.8941502304285,0.0
115,4351128.98017504,2494031.567550948
116,484070371.82519495,457909503.83451414
117,97274157.73955853,85231439.4841215
118,1.031603930246367e-05,0.0
119,212019530.69364315,190095634.41878638
120,0.0,0.0
121,0.0,0.0
122,1376774132.5721073,1344542412.8568408
123,5986201.429209692,3456766.2882388886
124,41.45995450509161,0.0
125,1313525.1311236878,389.5990994588983
126,0.0,0.0
127,12237500.87328419,6012972.74378837
128,151917246.55651107,138151628.26234877
129,8320.486175574753,0.0
130,5150648.166370141,2357764.594858686
131,62.73281401265225,0.0
132,520.7921801482354,0.0
133,1114775035.7749505,1085919196.6895962
134,277.2242454281932,0.0
135,0.0006460738446839213,0.0
136,2716636.769542323,64726.74409953503
137,0.0,0.0
138,0.0003895879937268125,0.0
139,0.00013811294857884616,0.0
140,0.0,0.0
141,145249891.91644654,130805973.30299027
142,0.0,0.0
143,33.96037491712307,0.0
144,24.59330796907518,0.0
145,1183136.0416678917,389146.9013737951
146,3838092.4184925654,1027562.3807934604
147,1801822622.196425,1764682080.4086766
148,48246698.493621744,40094888.836208984
149,4114527.915171399,2356657.4798770044
150,17305.992432910745,0.0
151,167.0462599202025,0.0
152,47251814.85086036,36742894.00640448
153,0.00010822163896958673,0.0
154,0.003418571718627792,0.0
155,28141911.377545256,19562211.925253857
156,13074162.76062061,9281324.342530085
157,6634.05257124756,0.0
158,0.0,0.0
159,0.00599667242167898,0.0
160,46433.788576116196,9272.240515116106
161,101470793.22883396,88218064.04002388
162,992481.0178017138,397739.8782365791
163,11652.224514957674,0.0
164,32258.094732818947,0.0
165,0.0,0.0
166,18674946.967995398,14045093.171564117
167,0.16740907364456903,0.0
168,7704699.1615268355,3503188.5003655213
169,21257.353302452986,0.0
170,40904.85441925308,3471.973778259963
171,1113059.9920159995,466962.5008077354
172,787.7869505392159,0.0
173,30750.733308337352,7901.168336248135
174,0.0,0.0
175,2528037.4878306817,1293062.2854839698
176,62.68814151909412,0.0
177,1579438.5276353103,745287.1413300444
178,11833171.845318984,7809504.789156393
179,77154.51948647531,0.0
180,6305874.044554677,3900766.242706902
181,669.0309965001543,0.0
182,5.524288513843872e-06,0.0
183,45506775.62304938,38254972.609207906
184,0.011770314113636772,0.0
185,111879020.81578873,94681453.2239239
186,203.9295477400826,0.0
187,0.0,0.0
188,321354006.0927098,303300597.0669146
189,31501537.197037704,24314868.68669894
190,38045.071860333526,0.0
191,384307471.6150807,366229080.0243427
192,3.5744832648160307,0.0
193,3244.5620157374005,0.0
194,79508898.9058282,65871783.24116504
195,0.0,0.0
196,4512.689499541963,0.0
197,0.0,0.0
198,1124511.3548124526,346.89341301886634
199,4.890425376223212,0.0
200,16.003957083110038,0.0
201,0.0,0.0
202,10.1625501379648,0.0
203,0.0,0.0
204,570582.9885896716,6650.189492023501
205,0.0,0.0
206,17794245.06280444,8713256.265151856
207,0.0,0.0
208,0.3141884150054783,0.0
209,382401.6009847692,110342.31255160939
210,3.3338262278476765,0.0
211,277539388.79443276,258484423.67143488
212,2.8221376364409378e-05,0.0
213,0.0,0.0
214,0.0,0.0
215,117289269.96121359,91507094.75525853
216,1662360.9863436131,819223.9549148695
217,0.0,0.0
218,0.2779876103827999,0.0
219,0.0,0.0
220,0.13614616398045085,0.0
221,202644242.64068645,175610629.00624508
222,59342.25099022125,10604.426057820041
223,2851627193.5064154,2798520789.9113183
224,23174903.572006147,12758272.102647824
225,308728651.8505267,285801105.4712779
226,0.27637137926679217,0.0
227,588.9158188927514,0.0
228,1069834.064788451,458417.24806641904
229,272155348.4512744,252893159.2514011
230,1995961092.5282505,1958618739.2117772
231,0.22795155152923866,0.0
232,3564187.9513680334,1874973.4548333702
233,39841.06458127977,3434.0559107442473
234,0.0,0.0
235,584.3990860351039,0.0
236,2431.945532030694,0.0
237,0.0,0.0
238,365808.00506452285,0.0
239,0.026306409384165813,0.0
240,1629782238.6263728,1597483240.4273696
241,0.0,0.0
242,4.115558398574174e-06,0.0
243,0.0,0.0
244,892940.906893655,342212.73930685956
245,268852105.2976599,249616625.5946235
246,0.0,0.0
247,92534.06147878099,0.0
248,205.77619439577524,0.0
249,915.7831840830866,0.0
250,0.0,0.0
251,253.54169862668635,0.0
252,129172809.076582,114006975.24574965
253,65.00923448330224,0.0
254,0.0,0.0
255,0.0,0.0
256,291213985.73015183,272395581.6395146
257,0.06452522972340316,0.0
258,89.36634475740867,0.0
259,2754.928624267532,0.0
260,0.14867958503350986,0.0
261,248287.8750795515,68140.1315311098
262,0.0,0.0
263,223.48850982939132,0.0
264,10185.625157226143,0.0
265,0.0,0.0
266,1527.2653937634068,0.0
267,322647.4091723561,62797.17718266382
268,4741.39572724977,0.0
