exceedance_probability,return_period_years,insured_loss_threshold
0.0104,96.15384615384616,3093770817.956009
0.0105,95.23809523809523,3091918077.6087465
0.0106,94.33962264150944,3089523896.797964
0.0107,93.45794392523365,3085945021.137383
0.0108,92.59259259259258,3085128475.6499214
0.0109,91.74311926605505,3084505871.377
0.011,90.90909090909092,3036365553.539034
0.0111,90.09009009009009,2967391392.1764927
0.0112,89.28571428571429,2965792893.9458313
0.0113,88.49557522123894,2956823431.036753
0.0114,87.71929824561403,2936449473.2263246
0.0115,86.95652173913044,2928269466.6305394
0.0116,86.20689655172414,2891321047.9159775
0.0117,85.47008547008546,2853741408.00805
0.0118,84.74576271186442,2815948850.617611
0.0119,84.03361344537815,2808277246.9109707
0.012,83.33333333333333,2806875561.001345
0.0121,82.64462809917356,2802076483.552355
0.0122,81.96721311475409,2798520789.9113183
0.0123,81.30081300813008,2792536072.336127
0.0124,80.64516129032258,2791738197.942154
0.0125,80.0,2784947836.4876223
0.0126,79.36507936507937,2782382042.195341
0.0127,78.74015748031496,2771664706.1194844
0.0128,78.125,2768647963.6830583
0.0129,77.51937984496124,2734627460.323422
0.013,76.92307692307692,2719021999.8408537
0.0131,76.33587786259541,2712480538.5753803
0.0132,75.75757575757576,2710450677.7912188
0.0133,75.18796992481204,2697562293.094658
0.0134,74.6268656716418,2695063232.142697
0.0135,74.07407407407408,2676901042.1296735
0.0136,73.52941176470588,2672516257.70054
0.0137,72.99270072992701,2658204189.990761
0.0138,72.46376811594203,2586851997.195927
0.0139,71.94244604316548,2560513458.759744
0.014,71.42857142857143,2527855857.5230303
0.0141,70.92198581560284,2522096380.2556996
0.0142,70.4225352112676,2507104737.205247
0.0143,69.93006993006993,2481641553.1871223
0.0144,69.44444444444444,2480534253.2007604
0.0145,68.9655172413793,2456989490.972648
0.0146,68.4931506849315,2447312109.3529725
0.0147,68.02721088435375,2424713851.056077
0.0148,67.56756756756756,2415879335.6618385
0.0149,67.11409395973155,2395831739.5058103
0.015,66.66666666666667,2394734707.0921884
