stochastic_year,annual_ground_loss,annual_insured_loss
1,0.0,0.0
2,438.0978403565301,0.0
3,0.0,0.0
4,0.0,0.0
5,28003.6549728207,0.0
6,0.0,0.0
7,10727.297579816614,4389.091470817559
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,10002.300834102945,0.0
14,0.0,0.0
15,0.0,0.0
16,120487.4780557264,2525.398664905893
17,84.70370150465237,0.0
18,0.0,0.0
19,0.0001851648029802748,0.0
20,691.2712319227063,0.0
21,16101.672547143338,0.0
22,0.0,0.0
23,0.0,0.0
24,4.326909815767003e-06,0.0
25,0.0,0.0
26,0.0,0.0
27,20429.787912819553,0.0
28,385148025.7627914,364739068.0053015
29,0.0,0.0
30,0.00041313982149424126,0.0
31,0.035074779646620986,0.0
32,0.0,0.0
33,5.038797021809209e-06,0.0
34,1710399.5732886815,571516.6600274497
35,0.013887655153192126,0.0
36,3378.3505403218323,0.0
37,0.009562019192688506,0.0
38,114.141273121204,0.0
39,957951441.9823753,928153687.2245543
40,0.0009297909467516283,0.0
41,517418.16857257613,11828.653033637793
42,0.0,0.0
43,0.0,0.0
44,130.5744675680931,0.0
45,171303785.80055594,155971801.2958772
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,533.9025128535419,0.0
50,2557385.041235052,1173868.0680851673
51,43.61919108953305,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,351177951.27009904,327613086.8926313
56,0.0,0.0
57,11415.545270242143,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,42143.63852100867,3110.100554671384
64,662530.4965566653,190249.33444709875
65,0.0,0.0
66,221.39712101563867,0.0
67,1.368868111310889,0.0
68,0.00034976959094802586,0.0
69,3034330.2911884193,1476263.4446465764
70,0.0,0.0
71,0.0,0.0
72,0.018541064071606675,0.0
73,0.0,0.0
74,0.00012443128937666205,0.0
75,0.0,0.0
76,0.0,0.0
